models/RNTN_wvecDim_30_step_5e-2_2.bin
Loading data...
Loading training trees..
initializing SGD
Using adagrad...
Loading deving trees..
Running epoch 0
running SGD
Iter 283 : Cost=27.0570, ExpCost=33.6702.
Iter 284 : Cost=30.9121, ExpCost=33.6426.
Time per epoch : 298.084348
testing on training set real quick
Testing netFile models/RNTN_wvecDim_30_step_5e-2_2.bin
Testing RNTN...
Cost 30.069412, Acc 0.687013
testing on dev set real quick
Testing netFile models/RNTN_wvecDim_30_step_5e-2_2.bin
Testing RNTN...
Cost 31.268606, Acc 0.679567
fprop in trees cleared
Running epoch 1
running SGD
Iter 285 : Cost=30.7048, ExpCost=33.6133.
Iter 286 : Cost=25.8566, ExpCost=33.5357.
Iter 287 : Cost=27.3202, ExpCost=33.4735.
Iter 288 : Cost=26.6500, ExpCost=33.4053.
Iter 289 : Cost=32.4432, ExpCost=33.3957.
Iter 290 : Cost=26.6561, ExpCost=33.3283.
Iter 291 : Cost=30.3822, ExpCost=33.2988.
Iter 292 : Cost=25.8761, ExpCost=33.2246.
Iter 293 : Cost=30.0796, ExpCost=33.1931.
Iter 294 : Cost=36.1167, ExpCost=33.2224.
Iter 295 : Cost=25.6415, ExpCost=33.1466.
Iter 296 : Cost=28.7195, ExpCost=33.1023.
Iter 297 : Cost=30.1421, ExpCost=33.0727.
Iter 298 : Cost=30.8481, ExpCost=33.0504.
Iter 299 : Cost=32.6353, ExpCost=33.0463.
Iter 300 : Cost=26.1656, ExpCost=32.9775.
Iter 301 : Cost=34.5856, ExpCost=32.9936.
Iter 302 : Cost=27.6521, ExpCost=32.9402.
Iter 303 : Cost=29.3651, ExpCost=32.9044.
Iter 304 : Cost=30.8531, ExpCost=32.8839.
Iter 305 : Cost=33.8071, ExpCost=32.8931.
Iter 306 : Cost=32.1529, ExpCost=32.8857.
Iter 307 : Cost=33.6729, ExpCost=32.8936.
Iter 308 : Cost=30.5777, ExpCost=32.8704.
Iter 309 : Cost=25.3711, ExpCost=32.7954.
Iter 310 : Cost=33.3976, ExpCost=32.8015.
Iter 311 : Cost=30.0239, ExpCost=32.7737.
Iter 312 : Cost=27.2434, ExpCost=32.7184.
Iter 313 : Cost=30.1760, ExpCost=32.6930.
Iter 314 : Cost=30.4156, ExpCost=32.6702.
Iter 315 : Cost=29.7429, ExpCost=32.6409.
Iter 316 : Cost=29.0264, ExpCost=32.6048.
Iter 317 : Cost=30.5744, ExpCost=32.5845.
Iter 318 : Cost=30.8352, ExpCost=32.5670.
Iter 319 : Cost=31.0422, ExpCost=32.5517.
Iter 320 : Cost=23.8105, ExpCost=32.4643.
Iter 321 : Cost=26.1421, ExpCost=32.4011.
Iter 322 : Cost=32.4993, ExpCost=32.4021.
Iter 323 : Cost=26.7615, ExpCost=32.3457.
Iter 324 : Cost=28.3010, ExpCost=32.3052.
