models/RNTN_wvecDim_30_step_10e-2_2.bin
Loading data...
Loading training trees..
initializing SGD
Using adagrad...
Loading deving trees..
Running epoch 0
running SGD
Iter 253 : Cost=21.1706, ExpCost=21.8704.
Iter 254 : Cost=22.5721, ExpCost=21.8774.
Iter 255 : Cost=21.5672, ExpCost=21.8743.
Iter 256 : Cost=22.2524, ExpCost=21.8781.
Iter 257 : Cost=21.4237, ExpCost=21.8735.
Iter 258 : Cost=18.4374, ExpCost=21.8392.
Iter 259 : Cost=23.7285, ExpCost=21.8581.
Iter 260 : Cost=25.9075, ExpCost=21.8986.
Iter 261 : Cost=21.4317, ExpCost=21.8939.
Iter 262 : Cost=22.4101, ExpCost=21.8991.
Iter 263 : Cost=23.8836, ExpCost=21.9189.
Iter 264 : Cost=22.8302, ExpCost=21.9280.
Iter 265 : Cost=21.4055, ExpCost=21.9228.
Iter 266 : Cost=22.1692, ExpCost=21.9252.
Iter 267 : Cost=22.4834, ExpCost=21.9308.
Iter 268 : Cost=22.4472, ExpCost=21.9360.
Iter 269 : Cost=20.4267, ExpCost=21.9209.
Iter 270 : Cost=20.3591, ExpCost=21.9053.
Iter 271 : Cost=21.2907, ExpCost=21.8991.
Iter 272 : Cost=19.8920, ExpCost=21.8791.
Iter 273 : Cost=17.5903, ExpCost=21.8362.
Iter 274 : Cost=21.6738, ExpCost=21.8346.
Iter 275 : Cost=21.2897, ExpCost=21.8291.
Iter 276 : Cost=21.2860, ExpCost=21.8237.
Iter 277 : Cost=21.0312, ExpCost=21.8158.
Iter 278 : Cost=25.1412, ExpCost=21.8490.
Iter 279 : Cost=23.6257, ExpCost=21.8668.
Iter 280 : Cost=21.1452, ExpCost=21.8596.
Iter 281 : Cost=23.4052, ExpCost=21.8750.
Iter 282 : Cost=23.9653, ExpCost=21.8959.
Iter 283 : Cost=20.5998, ExpCost=21.8830.
Iter 284 : Cost=21.7211, ExpCost=21.8813.
Time per epoch : 174.115571
testing on training set real quick
Testing netFile models/RNTN_wvecDim_30_step_10e-2_2.bin
Testing RNTN...
Cost 21.144791, Acc 0.775885
testing on dev set real quick
Testing netFile models/RNTN_wvecDim_30_step_10e-2_2.bin
Testing RNTN...
Cost 24.833772, Acc 0.751249
fprop in trees cleared
Running epoch 1
running SGD
Iter 285 : Cost=22.5240, ExpCost=21.8878.
Iter 286 : Cost=18.7163, ExpCost=21.8560.
Iter 287 : Cost=26.6830, ExpCost=21.9043.
Iter 288 : Cost=21.2953, ExpCost=21.8982.
Iter 289 : Cost=21.2251, ExpCost=21.8915.
Iter 290 : Cost=21.5630, ExpCost=21.8882.
Iter 291 : Cost=18.8595, ExpCost=21.8579.
Iter 292 : Cost=23.8791, ExpCost=21.8781.
Iter 293 : Cost=23.2020, ExpCost=21.8914.
